URL,Title,Brand,MRP,Current Price,Discount %,Rating,Reviews,Brand,Colour,Ear Placement,Form Factor,Impedance
https://www.amazon.in/OnePlus-Wireless-Earbuds-Drivers-Playback/dp/B0C8JB3G5W/ref=sr_1_3?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.eYnPVL2NDv4hzJsh4fON9_-aNPyq1PQriWLaw2iL0Be2z4YWHQMzVRGIIZztTmIDSabD2pzq-UoE0ttJkrg2H8begmE_vRfX809FzngM0B1ygaKgUVOCYvI0kshNJMGovakBdqkYEbcW5YhxUfFiNS0HdkCOBZJED5k7ZDSFf90YHILTd_35YJLM2Hrh9drnYwLfYdryjPQECHUkm5MRNnDyqcZMv6JW0SBy5omnlAM._BPFn1qqSkK-sXBc73iPWxwMVQf7xHi5OxCnEZbp45M&dib_tag=se&keywords=earbuds+under+2000&qid=1758559889&sprefix=earbuds+under+2000%2Caps%2C236&sr=8-3,"OnePlus Nord Buds 2r True Wireless in Ear Earbuds with Mic, 12.4mm Drivers, Playback:Upto 38hr case,4-Mic Design, IP55 Rating [Deep Grey]",OnePlus,2299,1402,39,4.2,30366,OnePlus,Deep Grey,In Ear,True Wireless,N/A
https://www.amazon.in/boAt-Airdopes-800-Detection-Interstellar/dp/B0D1V9Q6XQ/ref=sr_1_13?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.eYnPVL2NDv4hzJsh4fON9_-aNPyq1PQriWLaw2iL0Be2z4YWHQMzVRGIIZztTmIDSabD2pzq-UoE0ttJkrg2H8begmE_vRfX809FzngM0B1ygaKgUVOCYvI0kshNJMGovakBdqkYEbcW5YhxUfFiNS0HdkCOBZJED5k7ZDSFf90YHILTd_35YJLM2Hrh9drnYwLfYdryjPQECHUkm5MRNnDyqcZMv6JW0SBy5omnlAM._BPFn1qqSkK-sXBc73iPWxwMVQf7xHi5OxCnEZbp45M&dib_tag=se&keywords=earbuds+under+2000&qid=1758559889&sprefix=earbuds+under+2000%2Caps%2C236&sr=8-13,"boAt Airdopes 800, Dolby Audio, Adaptive EQ by Mimi, 4Mics AI ENx, App Support, Fast Charge, Low Latency, IPX5, v5.3 Bluetooth TWS in Ear Earbuds Wireless Earphones with mic (Interstellar Black)",boAt,6490,1493,77,4.0,5939,boAt,Interstellar Black,In Ear,In Ear,N/A
https://www.amazon.in/boAt-Nirvana-Technology-Detection-Bluetooth/dp/B0BW8TXJJ2/ref=sr_1_17?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.eYnPVL2NDv4hzJsh4fON9_-aNPyq1PQriWLaw2iL0Be2z4YWHQMzVRGIIZztTmIDSabD2pzq-UoE0ttJkrg2H8begmE_vRfX809FzngM0B1ygaKgUVOCYvI0kshNJMGovakBdqkYEbcW5YhxUfFiNS0HdkCOBZJED5k7ZDSFf90YHILTd_35YJLM2Hrh9drnYwLfYdryjPQECHUkm5MRNnDyqcZMv6JW0SBy5omnlAM._BPFn1qqSkK-sXBc73iPWxwMVQf7xHi5OxCnEZbp45M&dib_tag=se&keywords=earbuds+under+2000&qid=1758559889&sprefix=earbuds+under+2000%2Caps%2C236&sr=8-17,"boAt Nirvana Ion, 120HRS Battery, Crystal Bionic Sound w/Dual EQ Modes, 4Mics ENx, App Support, Low Latency, IPX4, v.5.2 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Charcoal Black)",boAt,7990,1199,85,4.0,18345,boAt,Charcoal Black (120 Hrs),In Ear,In Ear,N/A
https://www.amazon.in/realme-Wireless-Earbuds-Spatial-Charging/dp/B0DBGP48NW/ref=sr_1_6?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.eYnPVL2NDv4hzJsh4fON9_-aNPyq1PQriWLaw2iL0Be2z4YWHQMzVRGIIZztTmIDSabD2pzq-UoE0ttJkrg2H8begmE_vRfX809FzngM0B1ygaKgUVOCYvI0kshNJMGovakBdqkYEbcW5YhxUfFiNS0HdkCOBZJED5k7ZDSFf90YHILTd_35YJLM2Hrh9drnYwLfYdryjPQECHUkm5MRNnDyqcZMv6JW0SBy5omnlAM._BPFn1qqSkK-sXBc73iPWxwMVQf7xHi5OxCnEZbp45M&dib_tag=se&keywords=earbuds+under+2000&qid=1758559889&sprefix=earbuds+under+2000%2Caps%2C236&sr=8-6,"realme Buds T310 True Wireless in-Ear Earbuds with 46dB Hybrid ANC, 360° Spatial Audio, 12.4mm Dynamic Bass Driver, Upto 40Hrs Battery and Fast Charging (Vibrant Black)",realme,3999,1680,58,4.2,14156,realme,Vibrant Black,In Ear,True Wireless,32 Ohm
https://www.amazon.in/OnePlus-Wireless-Earbuds-Drivers-Playback/dp/B0C8J7W6PL/ref=sr_1_7?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.eYnPVL2NDv4hzJsh4fON9_-aNPyq1PQriWLaw2iL0Be2z4YWHQMzVRGIIZztTmIDSabD2pzq-UoE0ttJkrg2H8begmE_vRfX809FzngM0B1ygaKgUVOCYvI0kshNJMGovakBdqkYEbcW5YhxUfFiNS0HdkCOBZJED5k7ZDSFf90YHILTd_35YJLM2Hrh9drnYwLfYdryjPQECHUkm5MRNnDyqcZMv6JW0SBy5omnlAM._BPFn1qqSkK-sXBc73iPWxwMVQf7xHi5OxCnEZbp45M&dib_tag=se&keywords=earbuds+under+2000&qid=1758559889&sprefix=earbuds+under+2000%2Caps%2C236&sr=8-7,"OnePlus Nord Buds 2r True Wireless in Ear Earbuds with Mic, 12.4mm Drivers, Playback:Upto 38hr case,4-Mic Design, IP55 Rating [ Misty Grey ]",OnePlus,2299,1402,39,4.2,30366,OnePlus,Misty Grey,In Ear,In Ear,N/A
https://www.amazon.in/realme-Wireless-Earbuds-Charging-Energizing/dp/B0DF2Z6WKD/ref=sr_1_18?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.eYnPVL2NDv4hzJsh4fON9_-aNPyq1PQriWLaw2iL0Be2z4YWHQMzVRGIIZztTmIDSabD2pzq-UoE0ttJkrg2H8begmE_vRfX809FzngM0B1ygaKgUVOCYvI0kshNJMGovakBdqkYEbcW5YhxUfFiNS0HdkCOBZJED5k7ZDSFf90YHILTd_35YJLM2Hrh9drnYwLfYdryjPQECHUkm5MRNnDyqcZMv6JW0SBy5omnlAM._BPFn1qqSkK-sXBc73iPWxwMVQf7xHi5OxCnEZbp45M&dib_tag=se&keywords=earbuds+under+2000&qid=1758559889&sprefix=earbuds+under+2000%2Caps%2C236&sr=8-18,"realme Buds N1 True Wireless in-Ear Earbuds with 46dB Hybrid ANC, 360° Spatial Audio, 12.4mm Dynamic Bass Driver, Upto 40Hrs Battery and Fast Charging (Energizing Green)",realme,3999,1480,63,4.2,14156,realme,Energizing Green,In Ear,True Wireless,32 Ohm
https://www.amazon.in/Noise-Wireless-Earbuds-Playtime-Instacharge/dp/B0DS2SG8YP/ref=sr_1_30?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.DPeuETPpsQjjR9JT4xjW70arvFfh2Bix8zOG17VxqkHDjk3RVsVfZ_P1vr6Rt3UjEb-8stRe56dor5P4MFWn99C7eZuVMMeB87u0GPlL4YcFnFhBbzq0ryyIWDfFWpLY8eVdn_pR_ZO_wXtZztU4PGNz3M57hA8Wo0Z31H1K402z9xoqs2_dDIqPOCSTui42yKCKOqLldfK-7ZM5J8bj67JhDGwvMyJEhNVaov4EPrk.qwgUOrOS2Cl92f2oio1iGklBAmdrBOdz5GaskG63HUw&dib_tag=se&keywords=earbuds+under+2000&qid=1758559893&sprefix=earbuds+under+2000%2Caps%2C236&sr=8-30&xpid=DvhqFOmo_oiqT,"Noise Buds Trance in-Ear Truly Wireless Earbuds with 45H of Playtime, Low Latency(up to 40 ms), Instacharge(10 min=200 min), BT v5.3(Jet Black)",Noise,2499,1000,60,4.4,134,Noise,Jet Black,In Ear,True Wireless,N/A
https://www.amazon.in/OnePlus-Wireless-Bluetooth-Cancellation-Charging/dp/B0DFPKVGVC/ref=sr_1_23?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.DPeuETPpsQjjR9JT4xjW70arvFfh2Bix8zOG17VxqkHDjk3RVsVfZ_P1vr6Rt3UjEb-8stRe56dor5P4MFWn99C7eZuVMMeB87u0GPlL4YcFnFhBbzq0ryyIWDfFWpLY8eVdn_pR_ZO_wXtZztU4PGNz3M57hA8Wo0Z31H1K402z9xoqs2_dDIqPOCSTui42yKCKOqLldfK-7ZM5J8bj67JhDGwvMyJEhNVaov4EPrk.qwgUOrOS2Cl92f2oio1iGklBAmdrBOdz5GaskG63HUw&dib_tag=se&keywords=earbuds+under+2000&qid=1758559893&sprefix=earbuds+under+2000%2Caps%2C236&sr=8-23&xpid=DvhqFOmo_oiqT,N/A,OnePlus,2799,1799,36,4.2,9243,OnePlus,Melodic White,In Ear,In Ear,N/A
https://www.amazon.in/boAt-Airdopes-Multidevice-Bluetooth-Earphones/dp/B0F8BWZSFD/ref=sr_1_35?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.DPeuETPpsQjjR9JT4xjW70arvFfh2Bix8zOG17VxqkHDjk3RVsVfZ_P1vr6Rt3UjEb-8stRe56dor5P4MFWn99C7eZuVMMeB87u0GPlL4YcFnFhBbzq0ryyIWDfFWpLY8eVdn_pR_ZO_wXtZztU4PGNz3M57hA8Wo0Z31H1K402z9xoqs2_dDIqPOCSTui42yKCKOqLldfK-7ZM5J8bj67JhDGwvMyJEhNVaov4EPrk.qwgUOrOS2Cl92f2oio1iGklBAmdrBOdz5GaskG63HUw&dib_tag=se&keywords=earbuds+under+2000&qid=1758559893&sprefix=earbuds+under+2000%2Caps%2C236&sr=8-35&xpid=DvhqFOmo_oiqT,"boAt Airdopes Prime 701 ANC (2025 Launch),46dB Hybrid ANC, 50Hr Battery, Real Spatial Audio,Multidevice Connect,App Support, Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Zinc White)",boAt,7990,1838,77,4.0,1142,boAt,Zinc White,In Ear,In Ear,32 Ohm
https://www.amazon.in/Noise-Launched-Wireless-Playtime-Transparent/dp/B0FHW96T62/ref=sr_1_29?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.DPeuETPpsQjjR9JT4xjW70arvFfh2Bix8zOG17VxqkHDjk3RVsVfZ_P1vr6Rt3UjEb-8stRe56dor5P4MFWn99C7eZuVMMeB87u0GPlL4YcFnFhBbzq0ryyIWDfFWpLY8eVdn_pR_ZO_wXtZztU4PGNz3M57hA8Wo0Z31H1K402z9xoqs2_dDIqPOCSTui42yKCKOqLldfK-7ZM5J8bj67JhDGwvMyJEhNVaov4EPrk.qwgUOrOS2Cl92f2oio1iGklBAmdrBOdz5GaskG63HUw&dib_tag=se&keywords=earbuds+under+2000&qid=1758559893&sprefix=earbuds+under+2000%2Caps%2C236&sr=8-29&xpid=DvhqFOmo_oiqT,"Noise Newly Launched Buds VS601 in Ear Truly Wireless Earbuds with 50H of Playtime, Transparent Case Lid, Quad Mic ENC, Dual Device Pairing, 10Mm Driver, BT V5.3 (Cobalt Blue)",Noise,3999,1000,75,4.7,78,Noise,Cobalt Blue,In Ear,True Wireless,N/A
