URL,Title,Brand,MRP,Current Price,Discount %,Rating,Reviews,Care instructions,Closure type,Country of Origin,Length,Material type,Occasion type,Style
https://www.amazon.in/Ben-Martin-White-Jeans-Loose/dp/B0D76D2VS1/ref=sr_1_47?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-47,"Ben Martin Men Jeans || Baggy Fit Jean's for Man || Loose Fit High Rise Denim || Stretchable Casual Wear Jean,s || Dance Rap Rapping Style Pant for Men || Denim Cotton Jeans (1)",Ben Martin,2999,699,77,4.0,906,Machine Wash,Button,India,Standard Length,Cotton,"New Year, Bachelor Party, Anniversary, Birthday, Thanksgiving",Boyfriend
https://www.amazon.in/Amazon-Brand-Symbol-Trousers-AW-SY-MCT-1153_Navy_36W/dp/B07KW5MFYW/ref=sr_1_46?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-46,Amazon Brand - Symbol Men's Regular Fit Mid Rise Trouser,Amazon Brand - Symbol,1699,379,78,3.5,11928,Machine Wash,Zipper,India,Standard Length,Cotton,Casual,Modern
https://www.amazon.in/Ben-Martin-Cargo-Pants-Cargos/dp/B0DCKWKK6S/ref=sr_1_45?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-45,"Ben Martin Men's Denim Cotton Cargo Jeans || Stretchable Baggy Fit || High Waist Loose Cargos for Men with Box Pockets || Stylish Gen-Z Streetwear || Sizes 28–40 || Black, Khaki, Grey & More",Ben Martin,2999,799,73,3.8,1003,Machine Wash,Button,India,Standard Length,Cotton,"New Year, Bachelor Party, Anniversary, Birthday, Thanksgiving",Cargo
https://www.amazon.in/Allen-Solly-Casual-Pants-ASTFMSRFU89690_Charcoal/dp/B0F7XFHJ94/ref=sr_1_44?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-44,Allen Solly Men Slim Textured Flat Front Formal Trousers,Allen Solly,2499,1152,54,4.0,16,Machine Wash,Button,India,Standard Length,Polyester Blend,N/A,Chino
https://www.amazon.in/Urban-Buccachi-TRK-001-L-Dark-Grey/dp/B0F222MYYP/ref=sr_1_43?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-43,Urban Buccachi Men's Polycotton Straight Fit Track Pants | Mid-Rise with Flexi Waistband | Comfortable Active & Lounge Wear,Urban Buccachi,999,399,60,4.0,242,Hand Wash Only,Drawstring,India,Long Length,Polycotton,"Bachelor Party, Honeymoon, Birthday",Classic
https://www.amazon.in/AVANOVA-Corduroy-Baggy-Slacks-Chino/dp/B0F4KSSFQR/ref=sr_1_42?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-42,"AVANOVA Men's Black Front Tie Loose Fit Corduroy Baggy Long Slacks Chino Pants with Slant Pocket Simple Casual Trousers, Going Out (Code Pant 186)",AVANOVA,2999,619,79,4.1,51,Machine or Hand Wash,Drawstring,India,Standard Length,Cotton Blend,"Festival, Daily, Party, Casual, Formal",Modern
https://www.amazon.in/Samfor-Track-Pant-Men-Comfortable/dp/B0FCC8BTXT/ref=sr_1_41?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-41,"Samfor Track Pant for Men - Stylish, Comfortable & Stretchable Athletic Joggers for Casual & Gym Wear, Loose fit",Samfor,1999,399,80,4.4,187,"Machine Wash , Hand Wash",Pull On,India,N/A,Polycotton,N/A,Jogger
https://www.amazon.in/Lymio-Cargo-Cotton-Cargos-Cargo-01-04/dp/B0CTQGS7KD/ref=sr_1_40?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-40,Lymio Men's Regular Fit Low Rise Cotton Cargos Pants (Cargo-01-04),Lymio,4999,499,90,3.6,4109,Machine Wash,Drawstring,India,Long Length,Cotton,Casual,Cargo
https://www.amazon.in/Jockey-Combed-Elastane-Stretch-Pants_Graphite_XL/dp/B0DJ8M5XPS/ref=sr_1_39?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-39,Jockey IM26 Men's Super Combed Cotton Rich Elastane Stretch Woven Fabric Mid Rise Slim Fit All Day Pants with Side Pockets,Jockey,1849,1779,4,3.9,38,Hand Wash Only,Zipper,India,N/A,Cotton,Casual,Modern
https://www.amazon.in/Amazon-Brand-Symbol-AW-SY-MCT-1144_Light-Olive_32W/dp/B07CYX8KTS/ref=sr_1_38?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-38,Amazon Brand - Symbol Men's Casual Regular Fit Cotton Pants | Chinos | Trousers,Amazon Brand - Symbol,2199,629,71,3.6,15297,N/A,Button,India,Standard Length,Cotton,Casual,Chino
