URL,Title,Brand,MRP,Current Price,Discount %,Rating,Reviews,Brand,Capacity,Colour,Product Dimensions,Special Feature
https://www.amazon.in/Cookwell-Bullet-Mixer-Grinder-Silver/dp/B097XJQZ8H/ref=sr_1_6?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.wAXCpDf_PYiMOxXmh3IMWr85VDEabAdNxCuWmCvL8iNRP1xazJ_aKNHGtwLyjWDOjp1615HtbpjsRdL11-VzVhJGx0ptRIqrF4Ph_WUtO2m5LjrS9OxhgVIPNceEAEo2_g4XZ-sv8KasJdJwwfWvVKgEluvcGOq9DZ1QxNCaLSx9VzfNNi-FhLs0Ur2y4OvqpYXbbaVeplO1Yv8-aIV9ciue69zxzV9YqGoYVc5Ca8U.oxtLbzCR2tQ9rxOehCmS4mtNaNqPpui1P5EYE5F9YqU&dib_tag=se&keywords=grinder&qid=1759257048&sprefix=grinder%2Caps%2C236&sr=8-6,"Cookwell Bullet Mixer Grinder (5 Jars, 3 Blades, Silver) - Copper, 600 Watts - 2 Year Warranty",COOKWELL,6000,1999,68,4.3,19374,COOKWELL,3 litres,Silver,14D x 14W x 30H Centimeters,Compact
https://www.amazon.in/Philips-HL7756-00-750-Watt-Grinder/dp/B01GZSQJPA/ref=sr_1_9?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.wAXCpDf_PYiMOxXmh3IMWr85VDEabAdNxCuWmCvL8iNRP1xazJ_aKNHGtwLyjWDOjp1615HtbpjsRdL11-VzVhJGx0ptRIqrF4Ph_WUtO2m5LjrS9OxhgVIPNceEAEo2_g4XZ-sv8KasJdJwwfWvVKgEluvcGOq9DZ1QxNCaLSx9VzfNNi-FhLs0Ur2y4OvqpYXbbaVeplO1Yv8-aIV9ciue69zxzV9YqGoYVc5Ca8U.oxtLbzCR2tQ9rxOehCmS4mtNaNqPpui1P5EYE5F9YqU&dib_tag=se&keywords=grinder&qid=1759257048&sprefix=grinder%2Caps%2C236&sr=8-9,"Philips HL7756/01 750 Watt Mixer Grinder, 3 Stainless Steel Multipurpose Jars with 3 Speed Control and Pulse function (Black)",Philips,4795,2685,44,4.0,33971,Philips,1500 Milliliters,BLACK,37D x 21W x 26H Centimeters,"Adjustable Speed Control, Leak Proof"
https://www.amazon.in/Bosch-TrueMixx-Pro-Grinder-Watt-MGM8842MIN/dp/B07MKMFKPG/ref=sr_1_15?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.wAXCpDf_PYiMOxXmh3IMWr85VDEabAdNxCuWmCvL8iNRP1xazJ_aKNHGtwLyjWDOjp1615HtbpjsRdL11-VzVhJGx0ptRIqrF4Ph_WUtO2m5LjrS9OxhgVIPNceEAEo2_g4XZ-sv8KasJdJwwfWvVKgEluvcGOq9DZ1QxNCaLSx9VzfNNi-FhLs0Ur2y4OvqpYXbbaVeplO1Yv8-aIV9ciue69zxzV9YqGoYVc5Ca8U.oxtLbzCR2tQ9rxOehCmS4mtNaNqPpui1P5EYE5F9YqU&dib_tag=se&keywords=grinder&qid=1759257048&sprefix=grinder%2Caps%2C236&sr=8-15,Bosch Pro 1000W Mixer Grinder MGM8842MIN - Black,Bosch,10590,6248,41,4.3,17846,Bosch,1.4 litres,Black,21D x 49.5W x 21.9H Centimeters,Overload Protection
https://www.amazon.in/Preethi-Blue-Leaf-Diamond-750-Watt/dp/B0188KPKB2/ref=sr_1_20?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.wAXCpDf_PYiMOxXmh3IMWr85VDEabAdNxCuWmCvL8iNRP1xazJ_aKNHGtwLyjWDOjp1615HtbpjsRdL11-VzVhJGx0ptRIqrF4Ph_WUtO2m5LjrS9OxhgVIPNceEAEo2_g4XZ-sv8KasJdJwwfWvVKgEluvcGOq9DZ1QxNCaLSx9VzfNNi-FhLs0Ur2y4OvqpYXbbaVeplO1Yv8-aIV9ciue69zxzV9YqGoYVc5Ca8U.oxtLbzCR2tQ9rxOehCmS4mtNaNqPpui1P5EYE5F9YqU&dib_tag=se&keywords=grinder&qid=1759257048&sprefix=grinder%2Caps%2C236&sr=8-20,"Preethi Blue Leaf Diamond MG-214 mixer grinder 750 watt (Blue/White), 3 jars & Flexi Lid, FBT motor with 2yr Guarantee & Lifelong Free Service",Preethi,9455,2799,70,4.0,15207,Preethi,1.5 litres,White,23.5D x 33.5W x 30.5H Centimeters,Safety Lock
https://www.amazon.in/Butterfly-Rhino-Plus-150-Watt-Grinder/dp/B06XXKNBDV/ref=sr_1_10?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.wAXCpDf_PYiMOxXmh3IMWr85VDEabAdNxCuWmCvL8iNRP1xazJ_aKNHGtwLyjWDOjp1615HtbpjsRdL11-VzVhJGx0ptRIqrF4Ph_WUtO2m5LjrS9OxhgVIPNceEAEo2_g4XZ-sv8KasJdJwwfWvVKgEluvcGOq9DZ1QxNCaLSx9VzfNNi-FhLs0Ur2y4OvqpYXbbaVeplO1Yv8-aIV9ciue69zxzV9YqGoYVc5Ca8U.oxtLbzCR2tQ9rxOehCmS4mtNaNqPpui1P5EYE5F9YqU&dib_tag=se&keywords=grinder&qid=1759257048&sprefix=grinder%2Caps%2C236&sr=8-10,Butterfly Rhino Plus 2 Litres Table-Top Wet Grinder | 150 Watts | Shockproof ABS Body | Coconut Scrapper Attachment | Dough Kneader | Stainless Steel Drum | 2 Years Manufacturer's Warranty | Grey,Butterfly,8825,3849,55,4.0,7274,Butterfly,N/A,Grey,50L x 34W x 32H Centimeters,N/A
https://www.amazon.in/Woleebee-Electric-Stainless-Multipurpose-Grinding/dp/B0FHQD4W33/ref=sr_1_17?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.wAXCpDf_PYiMOxXmh3IMWr85VDEabAdNxCuWmCvL8iNRP1xazJ_aKNHGtwLyjWDOjp1615HtbpjsRdL11-VzVhJGx0ptRIqrF4Ph_WUtO2m5LjrS9OxhgVIPNceEAEo2_g4XZ-sv8KasJdJwwfWvVKgEluvcGOq9DZ1QxNCaLSx9VzfNNi-FhLs0Ur2y4OvqpYXbbaVeplO1Yv8-aIV9ciue69zxzV9YqGoYVc5Ca8U.oxtLbzCR2tQ9rxOehCmS4mtNaNqPpui1P5EYE5F9YqU&dib_tag=se&keywords=grinder&qid=1759257048&sprefix=grinder%2Caps%2C236&sr=8-17,"Woleebee Nima Electric Coffee & Spice Grinder | Stainless Steel Blade Dry Grinder for Masala, Seeds, Nuts, Beans & Herbs | Multipurpose Grinding Machine for Home & Kitchen",Woleebee,1299,429,67,4.6,18,Woleebee,N/A,Silver,12L x 12W x 20H Centimeters,N/A
https://www.amazon.in/Maharaja-Whiteline-Smart-Mixer-Grinder/dp/B08TWN3PB5/ref=sr_1_30?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.Etr3euGwL4sPkOlLNgpI7-3hbRzAGV3vWkioe0P4Wt_CoNCOVQxDIm-Dt2RMN1tHnhmNcd5upwy-zlwE1-6lxF5vOQyVhVCJC4Sdhdua-14DU-aF9EiGv4DIMcUNgDNWL6xX9l6lrhjcSFRwWGKzGYXz6wWyKNaiU9yUkLb6bvNxdQIpZu_FVs7Ye9esybOw8UyKk-aH2_v7IRFPVQhYAS9Z-nsYgpG2h7n5vS1ZoRE.fL6INRkbrVdDXzGNaAKJMJV8O0yDNYYg9wGJoPF_ZKs&dib_tag=se&keywords=grinder&qid=1759257051&sprefix=grinder%2Caps%2C236&sr=8-30&xpid=MNd-klT5-OOoW,Maharaja Whiteline Smart Mixer Grinder | 500-watt | 20000 RPM Motor Speed | Air Ventilation System | Stainless-Steel Jars & Blades | Unique Jar Flow Breakers | 2 Year Motor Warranty |Blue,Maharaja Whiteline,3299,1386,58,4.2,1151,Maharaja Whiteline,1.4 litres,Blue,N/A,N/A
https://www.amazon.in/DHRUSHAN-ENTERPRISE-Electric-Mixer-Grinder/dp/B0FKMW931G/ref=sr_1_36?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.Etr3euGwL4sPkOlLNgpI7-3hbRzAGV3vWkioe0P4Wt_CoNCOVQxDIm-Dt2RMN1tHnhmNcd5upwy-zlwE1-6lxF5vOQyVhVCJC4Sdhdua-14DU-aF9EiGv4DIMcUNgDNWL6xX9l6lrhjcSFRwWGKzGYXz6wWyKNaiU9yUkLb6bvNxdQIpZu_FVs7Ye9esybOw8UyKk-aH2_v7IRFPVQhYAS9Z-nsYgpG2h7n5vS1ZoRE.fL6INRkbrVdDXzGNaAKJMJV8O0yDNYYg9wGJoPF_ZKs&dib_tag=se&keywords=grinder&qid=1759257051&sprefix=grinder%2Caps%2C236&sr=8-36&xpid=MNd-klT5-OOoW,DHRUSHAN ENTERPRISE Nima Mini Electric Mixer Grinder - Stainless Steel Small Masala Spice Machine,Generic,1499,499,67,4.2,13,Generic,N/A,Silver,N/A,N/A
https://www.amazon.in/Geedel-Electric-Coffee-Spice-Grinder/dp/B0FMF3ZTNZ/ref=sr_1_31?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.Etr3euGwL4sPkOlLNgpI7-3hbRzAGV3vWkioe0P4Wt_CoNCOVQxDIm-Dt2RMN1tHnhmNcd5upwy-zlwE1-6lxF5vOQyVhVCJC4Sdhdua-14DU-aF9EiGv4DIMcUNgDNWL6xX9l6lrhjcSFRwWGKzGYXz6wWyKNaiU9yUkLb6bvNxdQIpZu_FVs7Ye9esybOw8UyKk-aH2_v7IRFPVQhYAS9Z-nsYgpG2h7n5vS1ZoRE.fL6INRkbrVdDXzGNaAKJMJV8O0yDNYYg9wGJoPF_ZKs&dib_tag=se&keywords=grinder&qid=1759257051&sprefix=grinder%2Caps%2C236&sr=8-31&xpid=MNd-klT5-OOoW,"Geedel 4-Blade Electric Coffee & Spice Grinder – Stainless Steel Portable Mixer for Masala, Herbs, Dry Spices & Nuts – Push Button Control, Compact & Durable for Home Kitchen (Multicolor)",Geedel,1499,705,53,4.5,15908,Geedel,N/A,Multicolor,6L x 4W x 8H Centimeters,N/A
https://www.amazon.in/JarGenie-High-Power-Multi-Function-Blending-Warranty/dp/B0DP9JPG3L/ref=sr_1_26?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.Etr3euGwL4sPkOlLNgpI7-3hbRzAGV3vWkioe0P4Wt_CoNCOVQxDIm-Dt2RMN1tHnhmNcd5upwy-zlwE1-6lxF5vOQyVhVCJC4Sdhdua-14DU-aF9EiGv4DIMcUNgDNWL6xX9l6lrhjcSFRwWGKzGYXz6wWyKNaiU9yUkLb6bvNxdQIpZu_FVs7Ye9esybOw8UyKk-aH2_v7IRFPVQhYAS9Z-nsYgpG2h7n5vS1ZoRE.fL6INRkbrVdDXzGNaAKJMJV8O0yDNYYg9wGJoPF_ZKs&dib_tag=se&keywords=grinder&qid=1759257051&sprefix=grinder%2Caps%2C236&sr=8-26&xpid=MNd-klT5-OOoW,"Cadlec JarGenie 4 Jar 750 Watt Mixer Grinder | High-Power Juicer, Blender & Mixer | Durable ABS Body | Multi-Function for Juicing & Blending | 2-Year Warranty",CADLEC,3499,1505,57,4.1,906,CADLEC,N/A,Black & White,31D x 22W x 23H Centimeters,"Adjustable Speed Control, Anti-Skid, Leak-Proof Jars"
